ID;COD_COMPONENTE;IMG_LATOSX;IMG_LATODX;CLASSE_LATOSX;CLASSE_LATODX;CLASSE_ASTASX;CLASSE_ASTADX;CLASSE_CALCIOSX;CLASSE_CALCIODX
3;2;20201 319 5323.png;20201 319 5348.png;3+;3+;3+;3+;3+;3+
4;2;20201 3110125 .png;20201 31101226.png;3+;3+;3+;3+;3+;3+
5;2;20201 31101327.png;20201 3110154 .png;3+;3+;3+;2;3+;3
6;2;20201 3110161 .png;20201 31101629.png;3+;3+;3+;3+;3+;3+
7;2;20201 3110177 .png;20201 31101723.png;3+;3+;3+;3+;3+;3+
8;2;20201 31101831.png;20201 31101858.png;3;3;3;3;3;3
9;2;20201 31102016.png;20201 31102052.png;3;3;3;3+;3;3
10;2;20201 31102259.png;20201 31102239.png;3;3;3;3;3+;3+
11;2;20201 31102456.png;20201 31102423.png;3+;3+;3+;3+;4-;3+
12;2;20201 3110267 .png;20201 31102550.png;3;3;3;3;3;3
13;2;20201 31102713.png;20201 31102647.png;3;3;3+;3;3;3
14;2;20201 31102838.png;20201 3110289 .png;3;3;3;3;3;3+
15;2;20201 31104111.png;20201 31104051.png;3+;3+;3+;3+;3+;3+
16;2;20201 31104226.png;20201 31104157.png;3+;3+;3+;3+;4-;3+
17;2;20201 31104625.png;20201 31104559.png;3;3;3;3;3+;3
18;2;20201 31104738.png;20201 31104720.png;3+;3+;3+;3+;3+;3+
19;2;20201 31104912.png;20201 31104844.png;3+;3+;3+;3+;3+;3+
20;2;20201 31105146.png;20201 31105122.png;3+;3+;2+;3-;3;3+
21;2;20201 3110533 .png;20201 31105244.png;3+;3+;3+;3+;3+;3+
22;2;20201 31105423.png;20201 3110544 .png;3+;3+;3+;3+;3;3
23;2;20201 31105529.png;20201 3110559 .png;3+;3+;3+;3+;3+;3+
24;2;20201 31105916.png;20201 31105849.png;3+;3+;3+;3+;3+;3+
25;2;20201 31110 17.png;20201 31105957.png;3+;3+;3+;3+;3;3+
26;2;20201 31111 28.png;20201 31111 10.png;3+;3+;3+;3+;3;3
27;2;20201 31111730.png;20201 3111178 .png;3+;3+;3+;3+;3+;3+
28;2;20201 31111828.png;20201 31111810.png;3+;3+;3+;3+;3+;3+
29;2;20201 31111928.png;20201 31111912.png;3+;3+;3+;3+;3+;3+
30;2;20201 31112231.png;20201 31112018.png;3+;3+;3+;3+;4;4
31;2;20201 31112424.png;20201 3111241 .png;3+;3+;3+;3+;3+;4-
32;2;20201 3111268 .png;20201 31112538.png;3;3;3+;3;3;3
33;2;20201 31112720.png;20201 31112656.png;3+;3+;3+;3+;3+;3+
34;2;20201 31112826.png;20201 31112756.png;3+;3+;3+;3+;3+;3+
35;2;20201 31112924.png;20201 3111296 .png;3+;3+;3+;3+;3+;3+
36;2;20201 31113022.png;20201 3111306 .png;3+;3+;3+;3+;3+;3+
37;2;20201 31113140.png;20201 31113117.png;3;3+;3;3+;3;3+
38;2;20201 31113331.png;20201 31113314.png;3+;3+;3+;3+;3+;3+
39;2;20201 31125548.png;20201 31125531.png;3+;3+;3+;3+;3+;3+
40;2;20201 3112571 .png;20201 31125634.png;3+;3+;3;3+;3+;3+
41;2;20201 31125816.png;20201 31125755.png;3;3;3;3;3+;3
42;2;20201 31125916.png;20201 3112591 .png;3+;3+;3+;3+;3+;3+
43;2;20201 31130 11.png;20201 31125955.png;3+;3+;3+;3+;3+;3+
44;2;20201 31134720.png;20201 31134656.png;4-;4-;4-;4-;4-;4-
45;2;20201 31134826.png;20201 3113489 .png;3+;3+;3+;3+;3+;3+
46;2;20201 31134925.png;20201 3113498 .png;3+;3+;3+;3+;3+;3+
47;2;20201 31135133.png;20201 3113512 .png;3+;3+;3+;3-;3+;3+
48;2;20201 31135255.png;20201 31135237.png;3+;3+;3+;3+;3+;3+
